id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2713284,None,None,None,Machine wash or professional dry clean,None,Apricot,100% Polyester,"Wrap, Contrast Lace, Ruffle Hem, Zipper",Non-Stretch,Regular Fit,Flounce,Maxi,None,Polyester,V neck,Plain,None,Spring,No,None,Long Sleeve,Bishop Sleeve,"Modest, Elegant",A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/03/1625309307eac2e08ec43532c25b9c513418c96e8c_thumbnail_405x552.jpg,US$26.67
2714850,None,None,None,Machine wash or professional dry clean,None,Baby Pink,100% Polyester,"Ruffle Hem, Zipper",Non-Stretch,Regular Fit,Pencil,Short,None,Guipure Lace,Stand Collar,Plain,None,All,No,None,Sleeveless,None,Glamorous,Fitted,High Waist,http://img.ltwebstatic.com/images3_pi/2021/05/18/16213177323d9789c616aea562ea0fbc3aaf570cc2_thumbnail_405x552.jpg,US$29.22
2716570,Yes,None,None,Machine wash or professional dry clean,None,Red,100% Polyester,"Ruffle Hem, Ruched Bust",Non-Stretch,Regular Fit,Flounce,Long,None,Polyester,Sweetheart,"Floral, All Over Print",None,Spring/Summer,No,None,Half Sleeve,Bishop Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/15/1623734859ee5ebd6f4901725c28495c1683a60b7e_thumbnail_405x552.jpg,US$27.94
2724602,None,None,None,Machine wash or professional dry clean,None,Rust Brown,100% Polyester,"Ruched, Zipper",Non-Stretch,Slim Fit,Pencil,Short,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Elegant,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/09/1623207840457353e50d58a5281c23d13eef30b04b_thumbnail_405x552.jpg,US$19.01
2732562,None,None,None,Machine wash or professional dry clean,None,Burgundy,"80% Polyester, 20% Cotton",Tie Front,Slight Stretch,Slim Fit,Pencil,Mini,None,Polyester,Round Neck,Plain,None,Summer,No,None,Sleeveless,None,Casual,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/05/24/16218292086f5b40106eae50694fb587270889d22d_thumbnail_405x552.jpg,US$12.63
2749190,None,Yes,None,Machine wash or professional dry clean,None,Blue and White,100% Polyester,"Belted, Button Front",Non-Stretch,Regular Fit,Flared,Short,None,Polyester,Collar,Floral,None,Summer,No,None,Half Sleeve,Regular Sleeve,Boho,Shirt,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/17/1623908330416ed1d7a3f9211f6ea17cb8305de55f_thumbnail_405x552.jpg,US$24.12
2749216,None,None,None,Machine wash or professional dry clean,None,Lilac Purple,100% Polyester,"Backless, Ruffle Hem, Split Thigh, Shirred",Non-Stretch,Regular Fit,Slit,Long,None,Polyester,Square Neck,"Floral, All Over Print",None,Spring/Summer,No,None,Short Sleeve,Flounce Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/17/1623900528b60715c5261c2c19412fe10443ec811c_thumbnail_405x552.jpg,US$27.94
2759697,None,None,None,Machine wash or professional dry clean,None,Green,100% Polyester,"Ruched, Draped, Drawstring, Knot",Slight Stretch,Regular Fit,Pencil,Mini,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/05/31/1622434708b8e19cff5cdf7b4a124cb31c2463582f_thumbnail_405x552.jpg,US$13.91
2766226,None,None,None,Machine wash or professional dry clean,None,Maroon,"97% Polyester, 3% Spandex",Draped,Non-Stretch,Regular Fit,Pencil,Short,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Glamorous,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/03/16226986269fd2f6354d174bd0ca0b89333f152491_thumbnail_405x552.jpg,US$11.36
2766242,None,None,None,Machine wash or professional dry clean,None,Navy Blue,"97% Polyester, 3% Spandex",Draped,Non-Stretch,Regular Fit,Pencil,Short,None,Satin,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Glamorous,Cami,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/03/1622698602a65732c163989d984e9fd73e4074b1dc_thumbnail_405x552.jpg,US$7.53
