id,Arabian Clothing,Belt,Body,Care Instructions,Chest Pad,Color,Composition,Details,Fabric,Fit Type,Hem Shaped,Length,Lining,Material,Neckline,Pattern Type,Pockets,Season,Sheer,Size Fit,Sleeve Length,Sleeve Type,Style,Type,Waist Line,img,price
2985824,None,None,None,Machine wash or professional dry clean,None,Multicolor,"65% Cotton, 35% Polyester",Backless,High Stretch,Slim Fit,Pencil,Mini,None,Cotton,Spaghetti Strap,"Heart, Snakeskin Print",None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/07/05/1625452297061ea4e9a6a2ddc38d61b4f25172eacc_thumbnail_405x552.jpg,US$7.53
2985969,None,None,None,Machine wash or professional dry clean,None,Black and White,100% Polyester,Ruffle Hem,Non-Stretch,Regular Fit,Flounce,Long,None,Polyester,V neck,Ditsy Floral,None,Spring/Fall,No,None,Long Sleeve,Bishop Sleeve,Boho,Smock,Drop Waist,http://img.ltwebstatic.com/images3_pi/2021/08/04/1628045627be94b93b708acda0e90ba893253e232c_thumbnail_405x552.jpg,US$27.94
2986067,None,None,None,Machine wash or professional dry clean,None,Black and White,"65% Polyester, 35% Cotton",Frill,Non-Stretch,Regular Fit,Flared,Long,None,Recycle Polyester,V neck,Ditsy Floral,None,Spring/Fall,No,None,Long Sleeve,Bishop Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/08/04/16280458698aa9992b6af890a348551ba2e162f9ad_thumbnail_405x552.jpg,US$21.56
2986929,None,None,None,Machine wash or professional dry clean,None,Army Green,100% Polyester,"Frill, Ruffle Hem",Non-Stretch,Regular Fit,Flounce,Short,None,Polyester,V neck,Plain,None,Spring/Fall,No,None,Long Sleeve,Bishop Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/07/27/1627376163e68c378dbd571bc1600d1cf1f87e107e_thumbnail_405x552.jpg,US$22.84
2987050,None,None,None,Machine wash or professional dry clean,None,Apricot,"97% Polyester, 3% Spandex","Backless, Draped, Zipper",Non-Stretch,Slim Fit,Pencil,Mini,None,Satin,One Shoulder,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/24/16245022514b1ec0f7e36d961b84030143ce1f5c6f_thumbnail_405x552.jpg,US$11.36
2987065,None,None,None,Machine wash or professional dry clean,None,Apricot,"95% Polyester, 5% Spandex","Ruched, Asymmetrical",Non-Stretch,Regular Fit,Asymmetrical,Mini,None,Polyester,One Shoulder,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/24/1624502286461fe1f68298d9dc122e0cff23f49ecd_thumbnail_405x552.jpg,US$31.77
2987090,None,None,None,Machine wash or professional dry clean,None,White,"95% Polyester, 5% Elastane","Contrast Lace, Backless, Split, Tie Back",Slight Stretch,Regular Fit,Slit,Mini,None,Lace,Round Neck,Plain,None,Summer,No,None,Long Sleeve,Regular Sleeve,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/27/16248018717a17b774fe76de229c73bdf078b77d30_thumbnail_405x552.jpg,US$29.22
2987095,None,None,None,Machine wash or professional dry clean,None,Coral Pink,100% Polyester,"Ruched, Drawstring, Knot",Non-Stretch,Regular Fit,Pencil,Mini,None,Polyester,Spaghetti Strap,Plain,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/27/1624800671b3eeda8d45fe04b84dc1ea8065d16e18_thumbnail_405x552.jpg,US$22.84
2987100,None,No,Unlined,Machine wash or professional dry clean,None,Camel,"65% Polyester, 35% Cotton","Asymmetrical, Zipper, Split Thigh, Exaggerated Ruffle",Slight Stretch,Regular Fit,Slit,Long,None,Satin,Round Neck,Plain,None,All,No,None,Long Sleeve,None,Glamorous,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/27/1624799187a6e821dae3f7475235d2d9c14e184583_thumbnail_405x552.jpg,US$56.02
2987105,None,No,Unlined,Machine wash or professional dry clean,None,Multicolor,"65% Polyester, 35% Cotton","Ruffle Hem, Zipper",Slight Stretch,Regular Fit,Flounce,Knee Length,None,Polyester,Stand Collar,Floral,None,Spring,No,None,Long Sleeve,Flounce Sleeve,Boho,A Line,Natural,http://img.ltwebstatic.com/images3_pi/2021/06/26/16247149848b3142be8750babe043e899e3863b2a9_thumbnail_405x552.jpg,US$44.53
2987145,None,None,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,"Backless, Drawstring, Knot, Zipper",Non-Stretch,Regular Fit,Pencil,Mini,None,Polyester,Spaghetti Strap,Tie Dye,None,Summer,No,None,Sleeveless,None,Sexy,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/27/162480082104d3273b6a21c5251fbd81cdc34f48a2_thumbnail_405x552.jpg,US$19.01
2987197,None,None,Lined,Machine wash or professional dry clean,None,Silver,"65% Polyester, 35% Cotton",Zipper,Slight Stretch,Slim Fit,Mermaid,Maxi,None,Sequins,Halter,Plain,None,All,No,None,Sleeveless,None,Glamorous,Bodycon,High Waist,http://img.ltwebstatic.com/images3_pi/2021/06/27/1624799777b9b5e0f0c682752d7f2388b41f0022a2_thumbnail_405x552.jpg,US$77.71
2987279,None,Yes,None,Machine wash or professional dry clean,None,Multicolor,100% Polyester,"Wrap, Knot",Non-Stretch,Regular Fit,Flared,Midi,None,Polyester,V neck,Ditsy Floral,None,Summer,No,None,Short Sleeve,Butterfly Sleeve,Boho,A Line,High Waist,http://img.ltwebstatic.com/images3_pi/2021/08/05/162815843172ab2245f4b917050e1d5065ba9749c7_thumbnail_405x552.jpg,US$19.01
2988359,None,None,None,Machine wash or professional dry clean,None,Multicolor,"95% Polyester, 5% Elastane",Cut Out,High Stretch,Slim Fit,Pencil,Long,None,Polyester,Deep V Neck,All Over Print,None,Spring/Summer,No,None,Long Sleeve,Flounce Sleeve,Sexy,Bodycon,Natural,http://img.ltwebstatic.com/images3_pi/2021/08/06/16282281432311f347d29970395aa9d9ec284ec9b0_thumbnail_405x552.jpg,US$24.12
